Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676359033,21261,1,2,0
1477676359034,21262,1,2,0
1477676359035,21261,1,2,0
1477676359036,21261,1,2,0
1477676359037,21260,1,2,0
1477676359038,21263,1,2,0
1477676359039,21261,1,2,0
1477676359040,21261,1,2,0
1477676359041,21262,1,2,0
1477676359042,21263,1,2,0
1477676359043,21260,1,2,0
1477676359044,21261,1,2,0
1477676359045,21261,1,2,0
1477676359046,21261,1,2,0
1477676359047,21260,1,2,0
1477676359048,21259,1,2,0
1477676359049,21260,1,2,0
1477676359050,21259,1,2,0
1477676359051,21260,1,2,0
1477676359052,21260,1,2,0
1477676359053,21259,1,2,0
1477676359054,21260,1,2,0
1477676359055,21259,1,2,0
1477676359056,21260,1,2,0
1477676359057,21260,1,2,0
1477676359058,21260,1,2,0
1477676359059,21258,1,2,0
1477676359060,21259,1,2,0
1477676359061,21260,1,2,0
1477676359062,21258,1,2,0
1477676359063,21259,1,2,0
1477676359064,21261,1,2,0
1477676359065,21259,1,2,0
1477676359066,21259,1,2,0
1477676359067,21258,1,2,0
1477676359068,21258,1,2,0
1477676359069,21258,1,2,0
1477676359070,21259,1,2,0
1477676359071,21258,1,2,0
1477676359072,21259,1,2,0
1477676359073,21259,1,2,0
1477676359074,21259,1,2,0
1477676359075,21258,1,2,0
1477676359076,21258,1,2,0
1477676359077,21257,1,2,0
1477676359078,21256,1,2,0
1477676359079,21257,1,2,0
1477676359080,21257,1,2,0
1477676359081,21257,1,2,0
1477676359082,21257,1,2,0
1477676359083,21257,1,2,0
1477676359084,21256,1,2,0
1477676359085,21256,1,2,0
1477676359086,21255,1,2,0
1477676359087,21256,1,2,0
1477676359088,21256,1,2,0
1477676359089,21256,1,2,0
1477676359090,21255,1,2,0
1477676359091,21256,1,2,0
1477676359092,21256,1,2,0
1477676359093,21255,1,2,0
1477676359094,21255,1,2,0
1477676359095,21255,1,2,0
1477676359096,21255,1,2,0
1477676359097,21254,1,2,0
1477676359098,21255,1,2,0
1477676359099,21252,1,2,0
1477676359100,21254,1,2,0
1477676359101,21253,1,2,0
1477676359102,21254,1,2,0
1477676359103,21255,1,2,0
1477676359104,21253,1,2,0
1477676359105,21254,1,2,0
1477676359106,21254,1,2,0
1477676359107,21253,1,2,0
1477676359108,21253,1,2,0
1477676359109,21254,1,2,0
1477676359110,21265,1,2,0
1477676359111,21254,1,2,0
1477676359112,21253,1,2,0
1477676359113,21253,1,2,0
1477676359114,21253,1,2,0
1477676359115,21252,1,2,0
1477676359116,21252,1,2,0
1477676359117,21253,1,2,0
1477676359118,21252,1,2,0
1477676359119,21250,1,2,0
1477676359120,21251,1,2,0
